Category,Sub Cat 1,Sub Cat 2,Product Code,Product Title,Sub Title,Product Price Description,Temperature Range,Refrigerant,Refrigerant Charge,Defrost,Shelves,Baskets,Int Finish,Ext Finish,Power,kWh/24hr,Watts,Noise Level dB,Max Ambient,Reversible Door,Climate Class,Capacity Ltr,Capacity Cuft,Ext H,Ext W,Ext D,Weight KG,Int H,Int W,Int D,Pack H,Pack W,Pack D,Packed Weight KG,Features,Thumbnail,Image,Image Caption,Packed Image,Packed Image Caption,Diagram,Diagram Caption,PDF Page No,Order,Catalogue Supplier Name,Next Day Delivery,Delivery Group,Special Installation,Site Survey,New,Sales Description,Fresh Fish,Fresh Meat,Price,Nett,Resale,Manufacturer,TaxID,Differences,Width Feature,Depth Feature,Height Feature
Chilled Display,Bar and Counter Display Chillers,,UR200GS,UR200G Range,Undercounter Chiller,SS Glass Door,0.1,R134a,75,Automatic,3,,White,Stainless Steel,13 Amp,1.8,130,40,25C at 60% RH,Yes,3,200ltr,7.1,850,600,585,47,620,510,485,910,690,650,52,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet with rollers to rear*Interior light*Digital controller and temperature display*Brushed aluminium door frame,,ur200gs-10.jpg,UR200GS,,,,,,,Tefcold,Y,GROUP 1,No,No,,,,,567,391.23,428.1984,2,1,,600mm,585mm,850mm
Chilled Display,Bar and Counter Display Chillers,,G19CD,G19CD,Undercounter Chiller,White Glass Door,0.125,R134a,60,Manual,2,,White,White or Stainless Steel,13 Amp,4.37,200,54,25C at 60% RH,No,3,145ltr,5.1,837,595,664,44,661,520,502,885,610,680,50,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*Interior light with switch,,g19cd-12.jpg,G19CD,g19c-pkd-12.jpg,G19CD Packed,,,,Y,Derby,Y,GROUP 1,No,No,,An undercounter fridge from the well respected manufacturer Derby. A fully automatic unit with fan assisted cooling to ensure even temperature across the unit.,,,548,378.12,413.8496,2,1,Y,595mm,664mm,837mm
Chilled Display,Bar and Counter Display Chillers,Upright Glass Door Chillers,PD100T,PD Upright Range,Back Bar,Black Glass Door,0/+10,R134a,230,Automatic,5,,Aluminium,Black,13 Amp,3.89,268,58,25C at 60% RH,Factory Option,3,300ltr,10.59,1800,600,515,143,1472,536,433,1950,665,630,145,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level on 2 door)*Stainless steel shelves*Adjustable feet*LED interior light with switch*Digital controller and temperature display*Tough easy to grab door handle,pdt-range-14.jpg,pd100t-stocked-13.jpg;pd100t-13.jpg,PD100T Stocked;PD100T,,,,,006.pdf,,Interlevin,Y,GROUP 2,No,No,,"The premium range of upright back bar coolers from Interlevin. Features energy saving LED internal lighting to display your beer, cider and soft drinks in the best possible way. The twin internal fans ensure fast, consistent cooling to chill your drinks to the optimum serve temperature. We've even made sure it has a sturdy handle for over enthusiastic bar staff who are in a rush. Ideal for bars, restaurants and caf?s.",,,725,500.25,547.52,2,1,,600mm,515mm,1800mm
Chilled Display,Bar and Counter Display Chillers,Upright Glass Door Chillers,PD200T,PD Upright Range,Back Bar,Black Glass Door,0/+10,R134a,300,Automatic,5 per door,,Aluminium,Black,13 Amp,5.23,418,58,25C at 60% RH,,3,500ltr,17.65,1800,920,515,223,1472,856,433,1950,985,630,225,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level on 2 door)*Stainless steel shelves*Adjustable feet*LED interior light with switch*Digital controller and temperature display*Tough easy to grab door handles,,pd200t-stocked-13.jpg;pd200t-13.jpg,PD200T Stocked;PD200T,,,,,,,Interlevin,Y,GROUP 3,No,No,,,,,1005,693.45,758.976,2,1,Y,920mm,515mm,1800mm
Chilled Display,Bar and Counter Display Chillers,,PD10H,PD10H,Back Bar,Black Hinged Door,0.428571429,R600a,38,Automatic,2,,Hammered Aluminium,Black,13 Amp,1.93,195,50,30C at 55% RH,No,4,142ltr,5,900,600,520,40,745,520,413,980,645,570,42,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Adjustable feet*Interior light with switch*Digital controller and temperature display*Self closing door*Replaceable door gasket*High quality EBM fan motors*Condenser design less vulnerable to blocking*Accepts approx.104 x 330ml bottles*Accepts approx. 29 x 75cl wine bottles (with optional wine shelves fitted),,pd10h-stocked-13.jpg;pd10h-13.jpg;pd10h-stocked-half-wine-15.jpg;pd10h-stocked-wine-15.jpg;pd10-wine-shelf.jpg,PD10H Stocked;PD10H;PD10H with 1 optional wine shelf;PD10H with 3 optional wine shelves;Optional wine shelves,pd10h-pkd-12.jpg,PD10H Packed,pd10h-dia-15.jpg,Diagram,007.pdf,,Interlevin,Y,GROUP 2,No,No,,Pubs and restaurants rely on having quality back bar coolers. The Interlevin PD range is made with efficiency and reliability in mind. We fit high quality German made EBM fan motors as well as condensers that are less liable to blocking. This means extra efficiency and peace of mind for your drinks cooling. The units come with locks as standard and have digital controllers and temperature display for easy operation. The controller is even behind a sliding plastic panel to protect if from the rigours of a busy bar.,,,412,284.28,311.1424,2,1,,600mm,520mm,900mm
Chilled Display,Bar and Counter Display Chillers,,PD20H,PD20 Range,Back Bar,Black Hinged Door,0.428571429,R600a,54,Automatic,2 Per door,,Hammered Aluminium,Black,13 Amp,2.47,230,50,30C at 55% RH,,4,210ltr,7.4,900,900,520,62,740,820,360,980,950,570,64,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level)*Adjustable feet*Interior light with switch*Digital controller and temperature display*Self closing doors*Replaceable door gasket*High quality EBM fan motors*Condenser design less vulnerable to blocking*Accepts approx.169 x 330ml bottles*Accepts approx. 44 x 75cl wine bottles (with optional wine shelves fitted),pd20-range-14.jpg,pd20h-stocked-13.jpg;pd20h-13.jpg;pd20h-stocked-half-wine-15.jpg;pd20h-stocked-wine-15.jpg;pd20-wine-shelf.jpg,PD20H Stocked;PD20H;PD20H with 3 optional wine shelves;PD20H with 6 optional wine shelves;Optional wine shelves,pd20h-pkd-12.jpg,PD20H Packed,pd20h-dia-15.jpg,PD20H Diagram,007.pdf,,Interlevin,Y,GROUP 2,No,No,,Pubs and restaurants rely on having quality back bar coolers. The Interlevin PD range is made with efficiency and reliability in mind. We fit high quality German made EBM fan motors as well as condensers that are less liable to blocking. This means extra efficiency and peace of mind for your drinks cooling. The units come with locks as standard and have digital controllers and temperature display for easy operation. The controller is even behind a sliding plastic panel to protect if from the rigours of a busy bar.,,,499,344.31,376.8448,2,1,,900mm,520mm,900mm
Chilled Display,Bar and Counter Display Chillers,,PD20S,PD20 Range,Back Bar,Black Sliding Door,0.428571429,R600a,54,Automatic,2 Per door,,Hammered Aluminium,Black,13 Amp,2.68,230,50,30C at 55% RH,,4,210ltr,7.4,900,900,520,62,740,820,360,980,950,570,64,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level)*Adjustable feet*Interior light with switch*Digital controller and temperature display*Self closing doors*Replaceable door gasket*High quality EBM fan motors*Condenser design less vulnerable to blocking*Accepts approx.169 x 330ml bottles*Accepts approx. 44 x 75cl wine bottles (with optional wine shelves fitted),,pd20s-stocked-13.jpg;pd20s-13.jpg;pd20s-stocked-half-wine-15.jpg;pd20s-stocked-wine-15.jpg;pd20s-lock-15.jpg,PD20S Stocked;PD20S;PD20S with 3 optional wine shelves;PD20S with 6 optional wine shelves;Lock,,,pd20s-dia-15.jpg,PD20S Diagram,,,Interlevin,Y,GROUP 2,No,No,,,,,499,344.31,376.8448,2,1,,900mm,520mm,900mm
Chilled Display,Bar and Counter Display Chillers,,PD30H,PD30 Range,Back Bar,Black Hinged Door,0.428571429,R600a,86,Automatic,2 Per door,,Hammered Aluminium,Black,13 Amp,4.22,290,50,30C at 55% RH,,4,340ltr,12,900,1350,520,87,745,1270,413,980,1400,570,89,"*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level)*Adjustable feet*Interior light with switch*Digital controller and temperature display*Self closing doors*Replaceable door gasket*High quality EBM fan motors*Condenser design less vulnerable to blocking*Accepts approx.260 x 330ml bottles*Accepts approx. 44 x 75cl wine bottles (with optional wine shelves fitted, middle door cannot accept wine shelves)",pd30-range-14.jpg,pd30h-stocked-13.jpg;pd30h-13.jpg;pd30h-stocked-third-wine-15.jpg;pd30-wine-shelf.jpg,PD30H Stocked;PD30H;PD30H with 3 optional wine shelves;Optional wine shelves (left or right hand doors only),pd20s-pkd-12.jpg,PD30H Packed,pd30h-dia-15.jpg,PD30H Diagram,007.pdf,,Interlevin,Y,GROUP 2,No,No,,Pubs and restaurants rely on having quality back bar coolers. The Interlevin PD range is made with efficiency and reliability in mind. We fit high quality German made EBM fan motors as well as condensers that are less liable to blocking. This means extra efficiency and peace of mind for your drinks cooling. The units come with locks as standard and have digital controllers and temperature display for easy operation. The controller is even behind a sliding plastic panel to protect if from the rigours of a busy bar.,,,688,474.72,519.5776,2,1,,1350mm,520mm,900mm
Chilled Display,Bar and Counter Display Chillers,,PD30S,PD30 Range,Back Bar,Black Sliding Door,0.428571429,R600a,86,Automatic,2 Per door,,Hammered Aluminium,Black,13 Amp,4.22,290,50,30C at 55% RH,,4,340ltr,12,900,1350,520,87,745,1270,413,980,1400,570,89,"*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level)*Adjustable feet*Interior light with switch*Digital controller and temperature display*Self closing doors*Replaceable door gasket*High quality EBM fan motors*Condenser design less vulnerable to blocking*Accepts approx.260 x 330ml bottles*Accepts approx. 44 x 75cl wine bottles (with optional wine shelves fitted, middle door cannot accept wine shelves)",,pd30s-stocked-13.jpg;pd30s-13.jpg;pd30s-lock-15.jpg,PD30S Stocked;PD30S;Lock,pd30s-pkd-12.jpg,PD30S Packed,pd30s-dia-15.jpg,PD30S Diagram,,,Interlevin,Y,GROUP 2,No,No,,,,,720,496.8,543.744,2,1,Y,1350mm,520mm,900mm
Chilled Display,Bar and Counter Display Chillers,,PD10H SS,PD10H SS,Back Bar,Stainless Steel,0.428571429,R600a,38,Automatic,2,,Mirror Stainless Steel,Stainless Steel,13 Amp,1.93,195,50,30C at 55% RH,No,4,142ltr,5,900,600,520,42,745,520,413,980,645,570,44,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves*Mirror stainless interior*Adjustable feet*Interior light with switch*Digital controller and temperature display*Self closing door*Replaceable door gasket*High quality EBM fan motors*Condenser design less vulnerable to blocking*Accepts approx.104 x 330ml bottles*Accepts approx. 29 x 75cl wine bottles (with optional wine shelves fitted),,pd10hss-stocked-15.jpg; pd10hss-stocked-half-wine-15.jpg; pd10hss-stocked-wine-15.jpg; pd10hss-interior-15.jpg; pd10hss-int-wine-15.jpg; pd10hss-cover-15.jpg; pd10hss-lock-15.jpg,PD10H SS Stocked;PD10H SS with 1 optional wine shelf;PD10H SS with 3 optional wine shelves;Mirror stainless steel interior;Optional wine shelves;Controller with protective cover;Lock,,,pd10hss-dia-15.jpg,Diagram,008.pdf,,Interlevin,Y,GROUP 2,No,No,Y,Pubs and restaurants rely on having quality back bar coolers. The Interlevin PD stainless steel range is made with efficiency and reliability in mind. We fit high quality German made EBM fan motors as well as condensers that are less liable to blocking. This means extra efficiency and peace of mind for your drinks cooling. The units come with locks as standard and have digital controllers and temperature display for easy operation. The controller is even behind a sliding plastic panel to protect if from the rigours of a busy bar.,,,582,401.58,439.5264,2,1,Y,600mm,520mm,900mm
Chilled Display,Bar and Counter Display Chillers,,PD20H SS,PD20H SS,Back Bar,Stainless Steel,0.428571429,R600a,54,Automatic,2 Per Door,,Mirror Stainless Steel,Stainless Steel,13 Amp,2.47,230,50,30C at 55% RH,,4,210ltr,7.4,900,900,520,64,740,820,360,980,950,570,66,*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level)*Mirror stainless interior*Adjustable feet*Interior light with switch*Digital controller and temperature display*Self closing doors*Replaceable door gasket*High quality EBM fan motors*Condenser design less vulnerable to blocking*Accepts approx.169 x 330ml bottles*Accepts approx. 44 x 75cl wine bottles (with optional wine shelves fitted),,pd20hss-stocked-15.jpg; pd20hss-stocked-half-wine-15.jpg; pd20hss-stocked-wine-15.jpg; pd20hss-interior-15.jpg; pd20hss-int-wine-15.jpg; pd20hss-cover-15.jpg; pd20hss-lock-15.jpg,PD20H SS Stocked;PD20H SS with 1 optional wine shelf;PD20H SS with 3 optional wine shelves;Mirror stainless steel interior;Optional wine shelves;Controller with protective cover;Lock,,,pd20hss-dia-15.jpg,Diagram,008.pdf,,Interlevin,Y,GROUP 2,No,No,Y,Pubs and restaurants rely on having quality back bar coolers. The Interlevin PD stainless steel range is made with efficiency and reliability in mind. We fit high quality German made EBM fan motors as well as condensers that are less liable to blocking. This means extra efficiency and peace of mind for your drinks cooling. The units come with locks as standard and have digital controllers and temperature display for easy operation. The controller is even behind a sliding plastic panel to protect if from the rigours of a busy bar.,,,729,503.01,550.5408,2,1,Y,900mm,520mm,900mm
Chilled Display,Bar and Counter Display Chillers,,PD30H SS,PD30H SS,Back Bar,Stainless Steel,0.428571429,R600a,86,Automatic,2 Per Door,,Mirror Stainless Steel,Stainless Steel,13 Amp,4.22,290,50,30C at 55% RH,,4,340ltr,12,900,1350,520,89,745,1270,413,980,1400,570,91,"*Fully automatic*Fan assisted cooling*Lock*Adjustable shelves (split level)*Mirror stainless interior*Adjustable feet*Interior light with switch*Digital controller and temperature display*Self closing doors*Replaceable door gasket*High quality EBM fan motors*Condenser design less vulnerable to blocking*Accepts approx.260 x 330ml bottles*Accepts approx. 44 x 75cl wine bottles (with optional wine shelves fitted, middle door cannot accept wine shelves)",,pd30hss-stocked-15.jpg;pd30hss-stocked-wine-15.jpg; pd30hss-interior-15.jpg; pd30hss-int-wine-15.jpg; pd30hss-cover-15.jpg; pd30hss-lock-15.jpg,PD30H SS Stocked;PD30H SS with 3 optional wine shelves;Mirror stainless steel interior;Optional wine shelves;Controller with protective cover;Lock,,,pd30hss-dia-15.jpg,Diagram,008.pdf,,Interlevin,Y,GROUP 2,No,No,Y,Pubs and restaurants rely on having quality back bar coolers. The Interlevin PD stainless steel range is made with efficiency and reliability in mind. We fit high quality German made EBM fan motors as well as condensers that are less liable to blocking. This means extra efficiency and peace of mind for your drinks cooling. The units come with locks as standard and have digital controllers and temperature display for easy operation. The controller is even behind a sliding plastic panel to protect if from the rigours of a busy bar.,,,996,687.24,752.1792,2,1,Y,1350mm,520mm,900mm
Chilled Display,Bar and Counter Display Chillers,,EC10H,EC10H,Back Bar,Black Hinged Door,0.428571429,R600a,38,Automatic,2,,Hammered Aluminium,Black,13 Amp,1.24,195,50,30C at 55% RH,No,4,142ltr,5,900,600,520,40,745,520,413,980,645,570,42,*ECA scheme approved*High efficiency compressor*Ultra reliable EBM German fans*Low E glass door ? equivalent to triple glazing*Fully automatic*Lock*Adjustable shelves*Adjustable feet*LED interior light with switch*Digital controller and temperature display*Self closing door*Replaceable door gasket*Condenser design less vulnerable to blocking*R600a Green approved refrigerant*Accepts approx.104 x 330ml bottles*Accepts approx. 29 x 75cl wine bottles (with optional wine shelves fitted),,ec10h-stocked-15.jpg;ec10h-15.jpg;ec10h-led-light-15.jpg;ec10h-stocked-half-wine-15.jpg;ec10h-stocked-wine-15.jpg;ec10h-wine-15.jpg;ec10h-wine-shelf.jpg,EC10H Stocked;EC10H;LED Lighting;EC10H with 1 optional wine shelf;EC10H with 3 optional wine shelves;EC10H with 3 optional wine shelves;Optional wine shelves,ec10h-pkd-12.jpg,EC10H Packed,ec10h-dia-15.jpg,Diagram,009.pdf,,Interlevin,Y,GROUP 2,,,Y,"The Interlevin Green Cool EC Range are Super efficient backbar coolers with low energy, long life EBM fans, super efficient compressor, LED lighting and Low E Glass (equivalent to triple glazed). The EC20H is the most powerful and efficient double door back bar on the market today* and has been independently tested to the exclusive M1 specification on the governments Energy Technology list. https://etl.decc.gov.uk/etl/site/etl.html. The EC range will give you significant energy savings year on year.

*Correct at time of writing June 2015",,,541,373.29,408.5632,2,1,,600mm,520mm,900mm
Chilled Display,Bar and Counter Display Chillers,,EC20H,EC20 Range,Back Bar,Black Hinged Door,0.428571429,R600a,54,Automatic,2 Per Door,,Hammered Aluminium,Black,13 Amp,1.35,230,50,30C at 55% RH,No,4,210ltr,7.4,900,900,520,62,740,820,360,980,950,570,64,*ECA scheme approved*High efficiency compressor*Ultra reliable EBM German fans*Low E glass door ? equivalent to triple glazing*Fully automatic*Lock*Adjustable shelves*Adjustable feet*LED interior light with switch*Digital controller and temperature display*Self closing door*Replaceable door gasket*Condenser design less vulnerable to blocking*R600a Green approved refrigerant*Accepts approx.169 x 330ml bottles*Accepts approx. 44 x 75cl wine bottles (with optional wine shelves fitted),ec20-range-15.jpg,ec20h-stocked-15.jpg;ec20h-15.jpg ;ec20h-stocked-part-wine-15.jpg;ec20h-stocked-half-wine-15.jpg;ec20h-stocked-wine-15.jpg; ec20h-wine-15.jpg;ec20h-wine-shelf.jpg;ec20-led-light-15.jpg,EC20H Stocked;EC20H;EC20H with 1 optional wine shelf;EC20H with 3 optional wine shelves;EC20H with 6 optional wine shelves;EC20H Optional Wine Shelves;Wine shelf detail;LED Lighting,ec20h-pkd-12.jpg,EC20H Packed,ec20h-dia-15.jpg,EC20H Diagram,009.pdf,,Interlevin,Y,GROUP 2,,,Y,"The Interlevin Green Cool EC Range are Super efficient backbar coolers with low energy, long life EBM fans, super efficient compressor, LED lighting and Low E Glass (equivalent to triple glazed). The EC20H is the most powerful and efficient double door back bar on the market today* and has been independently tested to the exclusive M1 specification on the governments Energy Technology list. https://etl.decc.gov.uk/etl/site/etl.html. The EC range will give you significant energy savings year on year.

*Correct at time of writing June 2015",,,631,435.39,476.5312,2,1,,900mm,520mm,900mm
