 ,Item Title,List Price,Image Filename,Width,Depth,Height,Sales Description,Rack Size,Drain Pump,Water Softener,MAP
C401,Undercounter Glasswasher,1650,C401opennewth.jpg;C401closednewth.jpg,440,540,675,C401 Rack size 390 x 390mm<br>Maximum useable height 295mm <br>Dimensions W440 x D540 x H675mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70-240 sec <br>Power 2.9kW <br>13 Amps required<br>2 year warranty<br>Bright LED display with soft touch panels<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options<br>Cycle times between 70 & 240 secs<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable),390,No,No,1068
C401D,Undercounter Glasswasher with Drain Pump,1750,C401opennewth.jpg;C401closednewth.jpg,440,540,675,C401 Rack size 390 x 390mm<br>Maximum useable height 295mm <br>Dimensions W440 x D540 x H675mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70-240 sec <br>Power 2.9kW <br>13 Amps required<br>2 year warranty<br>Bright LED display with soft touch panels<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options<br>Cycle times between 70 & 240 secs<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable),390,Yes,No,1133
C451,Undercounter Glasswasher,2120,C451opennewth.jpg;C451testth.jpg,530,560,570,C451 Rack size 450 x 450mm<br>Maximum useable height 255mm <br>Dimensions W530 x D560 x H700mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70 - 240 sec <br>Power 2.9kW <br>13 Amps required<br>2 year warranty<br>Bright LED display with soft touch panels<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options<br>Cycle times between 70 & 240 secs<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable),450,No,No,1371
C451D,Undercounter Glasswasher with Drain Pump,2320,C451opennewth.jpg;C451testth.jpg,530,560,570,C451 Rack size 450 x 450mm<br>Maximum useable height 255mm <br>Dimensions W530 x D560 x H700mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70 - 240 sec <br>Power 2.9kW <br>13 Amps required<br>2 year warranty<br>Bright LED display with soft touch panels<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options<br>Cycle times between 70 & 240 secs<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable),450,Yes,No,1498
C501,Undercounter Glasswasher / Dishwasher,2570,C501peronirestth.jpg;C501dishnewth.jpg;C501closednewth.jpg,580,610,815,"C501 Rack size 500 x 500mm<br>Maximum useable height 320mm <br>Dimensions W580 x D610 x H815mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70-240 sec <br>Power 2.6/4.5/6.5kW <br>13/20/30 Amps required<br>2 year warranty<br>Bright LED display with soft touch panels<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options plus special application cycle options<br>Cycle times between 70 & 240 secs, including special cycles<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Surface scrap tray filters<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable)",500,No,No,1662
C501D,Undercounter Glasswasher / Dishwasher with Drain Pump,2720,C501peronirestth.jpg;C501dishnewth.jpg;C501closednewth.jpg,580,610,815,"C501 Rack size 500 x 500mm<br>Maximum useable height 320mm <br>Dimensions W580 x D610 x H815mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70-240 sec <br>Power 2.6/4.5/6.5kW <br>13/20/30 Amps required<br>2 year warranty<br>Bright LED display with soft touch panels<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options plus special application cycle options<br>Cycle times between 70 & 240 secs, including special cycles<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Surface scrap tray filters<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable)",500,Yes,No,1759
C505WS,Undercounter Glasswasher / Dishwasher with Water Softener,2910,C505ESnewtestth.jpg,580,610,815,"C505WS Rack size 500 x 500mm<br>Maximum useable height 320mm <br>Dimensions W580 x D610 x H815mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70-240 sec <br>Power 2.6/4.5/6.5kW <br>13/20/30 Amps required<br>2 year warranty<br>Internal regeneration water softener<br>Bright LED display with soft touch panels<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options plus special application cycle options<br>Cycle times between 70 & 240 secs, including special cycles<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Surface scrap tray filters<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable)",500,No,Yes,1880
C505WSD,Undercounter Glasswasher / Dishwasher with Water Softener and Drain Pump,2910,C505ESnewtestth.jpg,580,610,815,"C505WS Rack size 500 x 500mm<br>Maximum useable height 320mm <br>Dimensions W580 x D610 x H815mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70-240 sec <br>Power 2.6/4.5/6.5kW <br>13/20/30 Amps required<br>2 year warranty<br>Internal regeneration water softener<br>Bright LED display with soft touch panels<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Supplied with two open cup/glass racks<br>Three selectable cycle options plus special application cycle options<br>Cycle times between 70 & 240 secs, including special cycles<br>Cycle times can be tailored to site requirements<br>Selectable energy saving mode<br>Selectable thermostop ensures optimum rinse temperatures<br>Automatic self-cleaning at end of service<br>Surface scrap tray filters<br>Operational self diagnostics<br>Twin traffic light display indicate machine status<br>Drain pump optional<br>Partial double skinned reducing noise and heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable)",500,Yes,Yes,1971
D401,Undercounter Glasswasher with Drain Pump,2140,D401winenewth.jpg;D401opennewth.jpg;D401newclosedth.jpg,455,560,700,"D401 Rack size 400 x 400mm<br>Maximum useable height 275mm <br>Dimensions W455 x D560 x H700mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70-150 sec <br>Power 2.9kW <br>13 Amps required<br>2 year warranty<br>D Range targeted at volume market requirements<br>Drain pump fitted as standard<br>Wash tank designed to reduce water usage<br>Low running costs due to improved rinse efficiency<br>Surface scrap trays as standard<br>Soft touch control with bright LED display<br>Twin traffic light display indicates machine status<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Three selectable cycle options plus special application cycles options<br>Cycle times between 70 & 240 secs, including special cycles<br>Selectable cycle to change operation for plate washing <br>Automatic self cleaning cycle<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable)",400,Yes,No,1384
D501,Undercounter Glasswasher with Drain Pump,3300,D501pernewth.jpg;D501closednewth.jpg,600,605,715,"D501 Rack size 500 x 500mm<br>Maximum useable height 255mm <br>Dimensions W600 x D605 x H715mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70-150 sec <br>Power 2.6/4.5/6.5kW <br>13/20/30 Amps required<br>2 year warranty<br>D Range targeted at volume market requirements<br>Drain pump fitted as standard<br>Wash tank designed to reduce water usage<br>Low running costs due to improved rinse efficiency<br>Surface scrap trays as standard<br>Soft touch control with bright LED display<br>Twin traffic light display indicates machine status<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Three selectable cycle options plus special application cycles options<br>Cycle times between 70 & 240 secs, including special cycles<br>Selectable cycle to change operation for plate washing <br>Selectable PRO LONG cycle for super intensive wash or for glass renovation <br>Automatic self cleaning cycle<br>Full double skinned for noise and reduced heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 78°C (adjustable)",500,Yes,No,2135
D515WS,Undercounter Glasswasher / Dishwasher with Drain Pump and Water Softener,3950,D515WSpernewth.jpg;D515WSnewdishth.jpg;D515WSclosednewth.jpg,500,605,815,"D515WS Rack size 500 x 500mm<br>Maximum useable height 355mm <br>Dimensions W600 x D605 x H815mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 70-150 sec <br>Power 2.6/4.5/6.5kW <br>13/20/30 Amps required<br>2 year warranty<br>D Range targeted at volume market requirements<br>Internal automatic water softener<br>Drain pump fitted as standard<br>Wash tank designed to reduce water usage<br>Low running costs due to improved rinse efficiency<br>Surface scrap trays as standard<br>Soft touch control with bright LED display<br>Twin traffic light display indicates machine status<br>Accurate detergent and rinse aid peristaltic dosing as standard<br>Three selectable cycle options plus special application cycles options<br>Cycle times between 70 & 240 secs, including special cycles<br>Selectable cycle to change operation for plate washing <br>Selectable PRO LONG cycle for super intensive wash or for glass renovation <br>Automatic self cleaning cycle<br>Full double skinned for noise and reduced heat loss<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 78°C (adjustable)",500,Yes,Yes,2553
EVO401,Undercounter Glasswasher with Drain Pump,3010,Evo401newth.jpg,470,560,700,"Evo 401 Rack size 400 x 400mm<br>Maximum useable height 270mm<br>Dimensions W470 x D560 x H700mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 90-71 Ssec <br>Power 2.9kW <br>13 Amps required<br>2 year warranty<br>Full LCD display and user interface giving uncomplicated machine status updates<br>Designed for the most demanding environments<br>Type AA breaktank<br>Double skinned minimising both acoustic output and reduced heat loss<br>Low water consumption<br>Three standard cycle options<br>Extensive range of special cycle options<br>Cycle times between 90 & 715 secs, including special cycles<br>Plates cycle automatically changes parameters to suit plate washing<br>NEW cycle give a complete refresh of the wash water<br>Detergent and rinse aid delivery by precise peristaltic pumps<br>Priming and dosing of chemicals enabled from fascia controls<br>Comprehensive automatic self-cleaning cycle<br>Drain pump as standard<br>Surface scrap trays as standard<br>Hi-level information retrieval to aid both installation and service technicians<br>Supplied with two open cup/glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable) 78°C when PRO plates cycle selected<br>",400,Yes,No,1945
EVO405WS,Undercounter Glasswasher with Drain Pump and Water Softener,3360,evo405WSnewth.jpg,470,560,700,"Evo 405WS Rack size 400 x 400mm<br>Maximum useable height 270mm<br>Dimensions W470 x D560 x H700mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 90-715 sec <br>Power 2.9kW <br>13 Amps required<br>2 year warranty<br>Full LCD display and user interface giving uncomplicated machine status updates<br>Designed for the most demanding environments<br>Type AA breaktank<br>Double skinned minimising both acoustic output and reduced heat loss<br>Internal continuous water softener<br>Low water consumption<br>Three standard cycle options<br>Extensive range of special cycle options<br>Cycle times between 90 & 715 secs, including special cycles<br>Plates cycle automatically changes parameters to suit plate washing<br>NEW cycle give a complete refresh of the wash water<br>Detergent and rinse aid delivery by precise peristaltic pumps<br>Priming and dosing of chemicals enabled from fascia controls<br>Comprehensive automatic self-cleaning cycle<br>Drain pump as standard<br>Surface scrap trays as standard<br>Hi-level information retrieval to aid both installation and service technicians<br>Supplied with two open cup/glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable) 78°C when PRO plates cycle selected",400,Yes,Yes,2170
EVO501,Undercounter Glasswasher with Drain Pump,3370,Evo501newth.jpg,600,605,715,"Evo 501 Rack size 500 x 500mm<br>Maximum useable height 250mm<br>Dimensions W600 x D605 x H715mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 90-715 sec <br>Power 2.6/4.5/6.5kW<br>13/20/30 Amps required<br>2 year warranty<br>Full LCD display and user interface giving uncomplicated machine status updates<br>Designed for the most demanding environments<br>Type AA breaktank<br>Double skinned minimising both acoustic output and reduced heat loss<br>Low water consumption<br>Three standard cycle options<br>Cycle times between 90 & 715 secs, including special cycles<br>Extensive range of special cycle options<br>Plates cycle automatically changes parameters to suit plate washing<br>LONG cycle for intensive wash or for glass renovation<br>STEEL cycle for best results when washing cutlery<br>Detergent and rinse aid delivery by precise peristaltic pumps<br>Priming and dosing of chemicals enabled from fascia controls<br>Comprehensive automatic self-cleaning cycle<br>Drain pump as standard<br>Surface scrap trays as standard<br>Hi-level information retrieval to aid both installation and service technicians<br>Supplied with two open cup/glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Can be supplied 3 phase<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable) 78°C when PRO plates cycle selected",500,Yes,No,2177
EVO505WS,Undercounter Glasswasher with Drain Pump and Water Softener,3760,Evo505WSopennewth.jpg;Evo505WSnewth.jpg,600,605,715,"Evo 505WS Rack size 500 x 500mm<br>Maximum useable height 250mm<br>Dimensions W600 x D605 x H715mm<br>Height excludes adjustable feet which will add 10 - 20mm<br>Three selectable cycle times ranging from 90-715 sec <br>Power 2.6/4.5/6.5kW<br>13/20/30 Amps required<br>2 year warranty<br>Full LCD display and user interface giving uncomplicated machine status updates<br>Designed for the most demanding environments<br>Type AA breaktank<br>Double skinned minimising both acoustic output and reduced heat loss<br>Internal continuous water softener<br>Low water consumption<br>Three standard cycle options<br>Cycle times between 90 & 715 secs, including special cycles<br>Extensive range of special cycle options<br>Plates cycle automatically changes parameters to suit plate washing<br>LONG cycle for intensive wash or for glass renovation<br>STEEL cycle for best results when washing cutlery<br>Detergent and rinse aid delivery by precise peristaltic pumps<br>Priming and dosing of chemicals enabled from fascia controls<br>Comprehensive automatic self-cleaning cycle<br>Drain pump as standard<br>Surface scrap trays as standard<br>Hi-level information retrieval to aid both installation and service technicians<br>Supplied with two open cup/glass racks<br>Suitable for hot (max 50°C) or cold water supply at 2 to 4 bar dynamic supply pressure<br>Machines fitted to cold water supplies will not be capable of running repeated short cycles.<br>The cycle time will automatically be extended to allow recovery of correct operating temperatures<br>Can be supplied 3 phase<br>Wash temperature 60°C (adjustable)<br>Rinse temperature 65°C (adjustable) 78°C when PRO plates cycle selected",500,Yes,Yes,2432
