Item Code,Brand,Item Title,Image Filename,Width,Depth,Height,Sales Description,Volume,Packed Weight,Nett Price
GE506D,Evolution Series,900mm Gas Range Elecrtic Static Oven,GE506D_UK_HR.png;GE506D_LH_UK_HR.png,900,812,1085,"6 burners cooktop range<br>2/1 GN electric static oven<br>6 x 7kW open burners<br>Heavy-duty stainless steel finish<br>Flame failure protection on all burners<br>Removable heavy-duty cast iron burners and vitreous enamel pot stands<br>Heavy-duty reinforced control knobs<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",1.04m,285,2270
GE56D,Evolution Series,900mm Gas Range Electric Convection Oven,GE56D_UK_HR.png;GE56D_LH_UK_HR.png,900,812,1085,"6 burners cooktop range<br>2/1 GN electric convection oven<br>6 x 7kW open burners<br>Heavy-duty stainless steel finish<br>Flame failure protection on all burners<br>Removable heavy-duty cast iron burners and vitreous enamel pot stands<br>Heavy-duty reinforced control knobs<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",1.04m,277,3355
G528D,Evolution Series,1200mm Gas Range Double Static Oven,G528D_UK_HR.png,1200,812,1085,"8 burners cooktop range<br>2 x 1/1 GN gas static oven<br>8 x 7kW open burners<br>Storage cabinet on right hand side<br>Heavy-duty stainless steel finish<br>Flame failure protection on all burners<br>Removable heavy-duty cast iron burners and vitreous enamel pot stands<br>Heavy-duty reinforced control knobs<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",1.46m,484,2910
G570,Evolution Series,900mm Gas Target Top Static Oven Range,G570_UK_HR.png,900,812,1085,"900mm gas target top oven range<br>12.5kW dual ring cast iron burner<br>2/1 GN gas static oven<br>Flame failure protection and continuous pilot burner<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Heavy-duty reinforced control knobs<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",1.04m,425,2000
G576,Evolution Series,900m Gas Target Top Convection Oven Range,G576_UK_HR.png,900,812,1085,"900mm gas target top oven range<br>12.5kW dual ring cast iron burner<br>2/1 GN gas convection oven<br>Flame failure protection and continuous pilot burner<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Heavy-duty reinforced control knobs<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",1.04m,440,2825
GE570,Evolution Series,900m Gas Target Top Electric Static Oven Range,GE570_UK_HR.png,900,812,1085,"900mm gas target top oven range<br>12.5kW dual ring cast iron burner<br>2/1 GN electric static oven<br>Flame failure protection and continuous pilot burner<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Heavy-duty reinforced control knobs<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",1.04m,450,2245
GE576,Evolution Series,900mm Gas Target Top Electric Convection Oven Range,GE576_UK_HR.png,900,812,1085,"900mm gas target top oven range<br>12.5kW dual ring cast iron burner<br>2/1 GN electric convection oven<br>Flame failure protection and continuous pilot burner<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Heavy-duty reinforced control knobs<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service",1.04m,450,2900
E506D,Evolution Series,900mm Electric Range Static Oven,E506D_UK_HR.png,900,812,1085,"6 radiant element cooktop range<br>2/1 GN electric static oven<br>6 x 2.4kW open radiant elements<br>Six temperature setting simmer setting<br>Heavy-duty stainless steel finish<br>Heavy-duty reinforced control knobs<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service<br>Optional hot plate elements",1.04m,260,2000
E56D,Evolution Series,900mm Electric Range Convection Oven,E56D_UK_HR.png,900,812,7085,"6 radiant element cooktop range<br>2/1 GN electric convection oven<br>6 x 2.4kW open radiant elements<br>Six temperature setting simmer setting<br>Heavy-duty stainless steel finish<br>Heavy-duty reinforced control knobs<br>Drop down door with welded frame<br>Fully welded and vitreous enamelled oven liner<br>Cool touch stainless steel door handle<br>Adjustable feet and 2 additional rollers<br>Easy clean, installation and service<br>Optional hot plate elements",1.04m,264,2500
G580-8,Evolution Series,900mm Gas Tilting Bratt Tank,G580_8_UK_HR.png,900,812,1085,"900mm gas tilting bratt pan<br>80 litre capacity<br>20kW single 6 bar stainless steel burner<br>Manually operated tilting mechanism<br>Fold away handle<br>Heavy-duty lid and hinge system<br>Galvanised steel chassis<br>Full stainless steel pan with 2mm pan body<br>12mm thick stainless steel even heat pan base<br>Large capacity pouring spout<br>Heavy-duty stainless steel legs with adjustable feet<br>Large easy use control knobs heat resistant reinforced<br>Thermostatic control<br>Over temperature safety cut-out<br>Easy clean, installation and service",1.03m,236,3850
G580-8E,Evolution Series,900mm Gas Tilting Bratt Tank,G580_8_UK_HR.png,900,812,1085,"900mm gas tilting bratt pan<br>80 litre capacity<br>20kW single 6 bar stainless steel burner<br>Electric power tilting mechanism<br>Fold away handle<br>Heavy-duty lid and hinge system<br>Galvanised steel chassis<br>Full stainless steel pan with 2mm pan body<br>12mm thick stainless steel even heat pan base<br>Large capacity pouring spout<br>Heavy-duty stainless steel legs with adjustable feet<br>Large easy use control knobs heat resistant reinforced<br>Thermostatic control<br>Over temperature safety cut-out<br>Easy clean, installation and service<br>(image shown G580-8)",1.03m,236,4135
G580-12,Evolution Series,1200mm Gas Tilting Bratt Tank,G580_12_LH_UK_HR.png,1200,812,1085,"1200mm gas tilting bratt pan<br>120 litre capacity<br>25kW single 6 bar stainless steel burner<br>Manually operated tilting mechanism<br>Fold away handle<br>Heavy-duty lid and hinge system<br>Galvanised steel chassis<br>Full stainless steel pan with 2mm pan body<br>12mm thick stainless steel even heat pan base<br>Large capacity pouring spout<br>Heavy-duty stainless steel legs with adjustable feet<br>Large easy use control knobs heat resistant reinforced<br>Thermostatic control<br>Over temperature safety cut-out<br>Easy clean, installation and service",1.36m,286,4590
G580-12E,Evolution Series,1200mm Gas Tilting Bratt Tank,G580_12E_LH_UK_HR.png,1200,812,1085,"1200mm gas tilting bratt pan<br>12 litre capacity<br>25kW single 6 bar stainless steel burner<br>Electric power tilting mechanism<br>Fold away handle<br>Heavy-duty lid and hinge system<br>Galvanised steel chassis<br>Full stainless steel pan with 2mm pan body<br>12mm thick stainless steel even heat pan base<br>Large capacity pouring spout<br>Heavy-duty stainless steel legs with adjustable feet<br>Large easy use control knobs heat resistant reinforced<br>Thermostatic control<br>Over temperature safety cut-out<br>Easy clean, installation and service",1.36m,286,4870
E580-8,Evolution Series,900mm Electric Tilting Bratt Tank,E580_8E_UK_HR.png,900,812,1085,"900mm electric tilting bratt pan<br>80 litre capacity<br>3 x 4kW stainless steel heating elements<br>Manually operated tilting mechanism<br>Fold away handle<br>Heavy-duty lid and hinge system<br>Galvanised steel chassis<br>Full stainless steel pan with 2mm pan body<br>12mm thick stainless steel even heat pan base<br>Large capacity pouring spout<br>Heavy-duty stainless steel legs with adjustable feet<br>Large easy use control knobs heat resistant reinforced<br>Thermostatic control<br>Over temperature safety cut-out<br>Easy clean, installation and service<br>(image shown G580-8)",1.03m,236,3850
E580-8E,Evolution Series,900mm Electric Tilting Bratt Tank,E580_8E_UK_HR.png,900,812,1085,"900mm electric tilting bratt pan<br>80 litre capacity<br>3 x 4kW stainless steel heating elements<br>Electric power tilting mechanism<br>Heavy-duty lid and hinge system<br>Galvanised steel chassis<br>Full stainless steel pan with 2mm pan body<br>12mm thick stainless steel even heat pan base<br>Large capacity pouring spout<br>Heavy-duty stainless steel legs with adjustable feet<br>Large easy use control knobs heat resistant reinforced<br>Thermostatic control<br>Over temperature safety cut-out<br>Easy clean, installation and service",1.03m,236,4135
E580-12,Evolution Series,1200mm Electric Tilting Bratt Tank,E580_12_UK_HR.png,1200,812,1085,"1200mm electric tilting bratt pan<br>120 litre capacity<br>3 x 5.66kW stainless steel heating elements<br>Manually operated tilting mechanism<br>Fold away handle<br>Heavy-duty lid and hinge system<br>Galvanised steel chassis<br>Full stainless steel pan with 2mm pan body<br>12mm thick stainless steel even heat pan base<br>Large capacity pouring spout<br>Heavy-duty stainless steel legs with adjustable feet<br>Large easy use control knobs heat resistant reinforced<br>Thermostatic control<br>Over temperature safety cut-out<br>Easy clean, installation and service",1.36m,286,4590
E580-12E,Evolution Series,1200mm Electric Tilting Bratt Tank,E580_12_UK_HR.png,1200,812,1085,"1200mm electric tilting bratt pan<br>120 litre capacity<br>3 x 5.66kW stainless steel heating elements<br>Electric power tilting mechanism<br>Heavy-duty lid and hinge system<br>Galvanised steel chassis<br>Full stainless steel pan with 2mm pan body<br>12mm thick stainless steel even heat pan base<br>Large capacity pouring spout<br>Heavy-duty stainless steel legs with adjustable feet<br>Large easy use control knobs heat resistant reinforced<br>Thermostatic control<br>Over temperature safety cut-out<br>Easy clean, installation and service",1.36m,286,4870
GP514-B,Evolution Series,600mm Gas Griddle Bench Model,GP514_B_ZZ_UK_HR.png,600,812,485,"600mm gas griddle bench model<br>14.5kW thermostatic burner system<br>20mm thick griddle plate<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Push-button piezo ignition<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",0.37m,160,1540
GP514-LS,Evolution Series,600mm Gas Griddle with Leg Stand,GP514_B_ZZ_UK_HR.png,600,812,1085,"600mm gas griddle bench model<br>14.5kW thermostatic burner system<br>20mm thick griddle plate<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Push-button piezo ignition<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",0.37m,160,1680
GP516-B,Evolution Series,900mm Gas Griddle Bench Model,GP516_B_UK_HR.png,900,812,485,"900mm gas griddle bench model<br>23kW thermostatic burner system<br>20mm thick griddle plate<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Push-button piezo ignition<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",0.55m,222,1820
GP516-LS,Evolution Series,900mm Gas Griddle with Leg Stand,GP516_B_UK_HR.png,900,812,1085,"900mm gas griddle bench model<br>23kW thermostatic burner system<br>20mm thick griddle plate<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Push-button piezo ignition<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",0.55m,222,1970
GP518-LS,Evolution Series,1200mm Gas Griddle with Leg Stand,GP518_LS_UK_HR.png,1200,812,1085,"900mm gas griddle on leg stand<br>31kW thermostatic burner system<br>20mm thick griddle plate<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Push-button piezo ignition<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",0.72m,276,2520
EP514-B,Evolution Series,600mm Electric Griddle Bench Model,EP514_B_UK_HR.png,600,812,485,"600mm electric griddle bench model<br>7.2kW heating elements<br>20mm thick griddle plate<br>Single temperature control zone<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",0.37m,170,1680
EP514-LS,Evolution Series,600mm Electric Griddle with Leg Stand,EP514_B_UK_HR.png,600,812,1085,"600mm electric griddle bench model<br>7.2kW heating elements<br>20mm thick griddle plate<br>Single temperature control zone<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",0.37m,170,1750
EP516-B,Evolution Series,900mm Electric Griddle Bench Model,EP516_B_UK_HR.png,900,812,485,"900mm electric griddle bench model<br>12kW heating elements<br>20mm thick griddle plate<br>Single temperature control zone<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",0.55m,170,1955
EP516-LS,Evolution Series,900mm Electric Griddle with Leg Stand,EP516_B_UK_HR.png,900,812,1085,"900mm electric griddle bench model<br>12kW heating elements<br>20mm thick griddle plate<br>Single temperature control zone<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",0.55m,170,2105
EP518-LS,Evolution Series,1200mm Electric Griddle with Leg Stand,EP518_LS_UK_HR.png,1200,812,1085,"1200mm electric griddle on leg stand<br>16.2kW heating elements<br>20mm thick griddle plate<br>Single temperature control zone<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",1.36m,192,2520
EP518-RB,Evolution Series,1200mm Electric Griddle with Refrigerated Base,ep518arb-l_1_.jpg,1200,812,1085,"1200mm electric griddle on refrigerated base<br>16.2kW heating elements<br>20mm thick griddle plate<br>Single temperature control zone<br>Top weld sealed plates<br>Stainless steel grease drawer<br>Heavy-duty reinforced control knobs<br>Adjustable feel and 2 additional rollers<br>Easy clean, installation and service<br>Optional ribbed or chrome mirror plate",1.36m,192,3785
G592-B,Evolution Series,300mm Gas Chargrill Bench Top,G592_B_UK_HR.png,300,812,485,"300mm gas chargrill bench model<br>9.8kW 304 stainless steel U-burner<br>Reversible heavy-duty top grates<br>Inclined position to reduce flare and enhance grease run<br>Flame failure protection with continuous pilot burner<br>Lift out grates, radiants and baffles for cleaning<br>Heavy-duty reinforced control knobs<br>Easy clean, installation and service",0.2m,86,820
G594-LS,Evolution Series,600mm Gas Chargrill with Leg Stand,G594_LS_UK_HR.png,600,812,1085,"600mm gas chargrill on leg stand<br>2 x 9.8 kW 304 stainless steel U-burners<br>Reversible heavy-duty top grates<br>Interchangeable drop on griddle plates<br>Inclined position to reduce flare and enhance grease run<br>Flame failure protection with continuous pilot burner<br>Lift out grates, radiants and baffles for cleaning<br>Heavy-duty reinforced control knobs<br>Easy clean, installation and service",0.48m,171,1635
G596-LS,Evolution Series,900mm Gas Chargrill with Leg Stand,G596_LS_UK_HR.png;G596_LS_LH_UK_HR.png;G596_LS_50_50GRATES_LH_UK_HR.png;G596_LS_300PLATE_LH_UK_HR.png;G596_LS_300PLATE_UK_HR.png;G596_LS_450PLATE_UK_HR.png;G596_LS_SIMMERPLATE_UK_HR.png,900,812,1085,"900mm gas chargrill on leg stand<br>3 x 9.8 kW 304 stainless steel U-burners<br>Reversible heavy-duty top grates<br>Inclined position to reduce flare and enhance grease run<br>Flame failure protection with continuous pilot burner<br>Lift out grates, radiants and baffles for cleaning<br>Heavy-duty reinforced control knobs<br>Easy clean, installation and service",0.7m,232,1755
G598-LS,Evolution Series,1200mm Gas Chargrill with Leg Stand,G598_LS_UK_HR.png;G598_LS_450PLATE_UK_HR.png,1200,812,1085,"1200mm gas chargrill on leg stand<br>4 x 9.8 kW 304 stainless steel U-burners<br>Reversible heavy-duty top grates<br>Inclined position to reduce flare and enhance grease run<br>Flame failure protection with continuous pilot burner<br>Lift out grates, radiants and baffles for cleaning<br>Heavy-duty reinforced control knobs<br>Easy clean, installation and service",0.93m,295,2035
G598-B,Evolution Series,1200mm Gas Chargrill Bench Model,G598_LS_UK_HR.png;G598_LS_450PLATE_UK_HR.png,1200,812,585,"Bench model 1200mm gas chargrill<br>4 x 9.8 kW 304 stainless steel U-burners<br>Reversible heavy-duty top grates<br>Interchangeable drop on griddle plates<br>Inclined position to reduce flare and enhance grease run<br>Flame failure protection with continuous pilot burner<br>Lift out grates, radiants and baffles for cleaning<br>Heavy-duty reinforced control knobs<br>Easy clean, installation and service<br>(Image shown as G598-LS, leg stand model)",0.93m,295,
G91B,Evolution Series,900mm Gas Salamander,G91B_UK_HR.png,900,424,456,"900mm gas salamander<br>2 x 4.4kW individually controlled infrared burners<br>Four position racking (flat or inclined)<br>Branding plate<br>Left and right individual burner controls<br>Standing pilot with flame failure<br>Monocoque construction<br>Suitable for bench or wall mounting<br>Removable base for Easy clean, installation and service",0.31m,69,890
E91B,Evolution Series,900mm Electric Salamander,E91B_UK_HR.png,900,424,456,"900mm electric salamander<br>2 x 3kW infrared elements<br>Four position racking (flat or inclined)<br>Branding plate<br>Left and right heat controls<br>Monocoque construction<br>Suitable for bench or wall mounting<br>Removable base for Easy clean, installation and service",0.31m,63,890
GT45,Evolution Series,450mm Single Tank Twin Basket Gas Fryer,GT45_UK_HR.png,450,812,1085,"450mm single pan gas fryer<br>20 litre oil capacity<br>31kg/hr production rate<br>2 x 12.5kW infrared burners<br>Mechanical controls<br>Easy clean, installation and service<br>Supplied with 2 standard baskets",0.54m,122,1490
GT45E,Evolution Series,450mm Single Tank Twin Basket Gas Fryer,GT45E_UK_HR.png,450,812,1085,"450mm single pan gas fryer<br>20 litre oil capacity<br>31kg/hr production rate<br>2 x 12.5kW infrared burners<br>Digital display temperature control with 3 product timers<br>Easy clean, installation and service<br>Supplied with 2 standard baskets",0.54m,122,1750
GT46,Evolution Series,450mm Twin Tank Twin Basket Gas Fryer,GT46_UK_HR.png;GT46_LH_UK_HR.png,450,812,1085,"450mm twin pan gas fryer<br>13 litre oil capacity per pan<br>31kg/hr production rate<br>2 x 12.5kW infrared burners<br>Mechanical controls<br>Easy clean, installation and service<br>Supplied with 2 standard baskets",0.54m,129,1540
GT46E,Evolution Series,450mm Twin Tank Twin Basket Gas Fryer,GT46E_UK_HR.png,450,812,1085,"450mm twin pan gas fryer<br>13 litre oil capacity per pan<br>31kg/hr production rate<br>2 x 12.5kW infrared burners<br>2 digital display temperature controls with 3 product timers each<br>Easy clean, installation and service<br>Supplied with 2 standard baskets",0.54m,129,2075
GT60,Evolution Series,600mm Triple Basket Single Tank Gas Fryer,GT60_3BASKETS_UK_HR.png;GT60_2BASKETS_UK_HR.png,600,812,1085,"600mm single pan gas fryer<br>31 litre oil capacity<br>31kg/hr production rate<br>2 x 12.5kW infrared burners<br>Mechanical controls<br>Easy clean, installation and service<br>Supplied with 2 large or 3 standard basket capacity",0.7m,143,2100
GT60E,Evolution Series,600mm Triple Basket Single Tank Gas Fryer,GT60E_2BASKETS_UK_HR.png,600,812,1085,"600mm single pan gas fryer<br>31 litre oil capacity<br>31kg/hr production rate<br>2 x 12.5kW infrared burners<br>Digital display temperature control with 3 product timers<br>Easy clean, installation and service<br>Supplied with 2 large or 3 standard basket capacity",0.7m,143,2405
E43,Evolution Series,450mm Single Tank Twin Basket Electric Fryer,E43_UK_HR.png,450,812,1085,"450mm single pan electric fryer<br>27 litre oil capacity<br>31kg/hr production rate<br>3 x 5.66kW stainless steel heating elements<br>Mechanical controls<br>Easy clean, installation and service<br>Supplied with 2 standard baskets",0.54m,105,1535
E43E,Evolution Series,450mm Single Tank Twin Basket Electric Fryer,E43E_UK_HR.png,450,812,1085,"450mm single pan electric fryer<br>27 litre oil capacity<br>31kg/hr production rate<br>3 x 5.66kW stainless steel heating elements<br>Digital display electronic controls<br>Easy clean, installation and service<br>Supplied with 2 standard baskets",0.54m,105,1895
E44,Evolution Series,450mm Twin Tank Twin Basket Electric Fryer,E44M_UK_HR.png;E44M_LH_UK_HR.png,450,812,1085,"450mm twin pan electric fryer<br>12 litre per pan oil capacity<br>31kg/hr production rate<br>3 x 2.83kW stainless steel heating elements<br>Mechanical controls<br>Easy clean, installation and service<br>Supplied with 2 standard baskets",0.54m,116,1580
E44E,Evolution Series,450mm Twin Tank Twin Basket Electric Fryer,E44E_UK_HR.png,450,812,1085,"450mm twin pan electric fryer<br>12 litre per pan oil capacity<br>31kg/hr production rate<br>3 x 2.83kW stainless steel heating elements<br>Digital display electronic controls<br>Easy clean, installation and service<br>Supplied with 2 standard baskets",0.54m,116,1940
G47,Evolution Series,450mm Single Tank Twin Basket Gas Pasta Cooker,G47_2BASKETS_LH_UK_HR.png;G47_2BASKETS_UK_HR.png;G47_4BASKETS_LH_UK_HR.png;G47_4BASKETS_UK_HR.png,450,812,1085,450mm high performance single pan pasta cooker<br>40 litre water capacity<br>13.5kW infrared burner<br>Unique pan design<br>Easy clean 316 grade stainless steel open pan with 10 year limited warranty<br>Integrated water fill and starch skimming water faucet<br>Safety cut out thermostat for empty pan/water boil out<br>Fine adjustment water faucet for pan filling<br>Incorporated basket drain stand<br>Adjustable feel and additional rear rollers<br>Supplied with four stainless steel pasta baskets,0.54m,124,1680
E47-7,Evolution Series,450mm Single Tank 4 Basket Electric Pasta Cooker,E47_UK_HR.png,450,812,1085,450mm high performance single pan pasta cooker<br>40 litre water capacity<br>7kW incology 825 heating element<br>Single phase<br>Unique pan design<br>Easy clean 316 grade stainless steel open pan with 10 year limited warranty<br>Integrated water fill and starch skimming water faucet<br>Safety cut out thermostat for empty pan/water boil out<br>Fine adjustment water faucet for pan filling<br>Incorporated basket drain stand<br>Adjustable feel and additional rear rollers<br>Supplied with four stainless steel pasta baskets<br>(image shown E47),0.54m,124,1680
CR6D,Cobra,600mm Gas Static Oven Range,CR6D_UK_HR.png,600,800,1085,"4 burner gas range static oven<br>4 x 5.5kW (18,800Btu/hr) open burners<br>Variable high to low controls<br>Cast iron burners and vitreous enamel pot stands<br>1/1 GN gas static oven with 4 position racking<br>High crown height<br>Manual pilot ignition<br>Side hinged door<br>Welded vitreous enameled oven liner<br>Stainless steel finish<br>Adjustable front feet and rear rollers",0.7m,167,950
CR9D,Cobra,900mm Gas Static Oven Range,CR9D_UK_HR.png,900,800,1085,"6 burner cooktop range static oven<br>6 x 5.5kW open (18,800Btu/hr) burners<br>Variable high to low controls<br>Cast iron burners and vitreous enamel pot stands<br>2/1 GN or 1/1 GN gas static oven with 4 position racking<br>High crown height<br>Manual pilot ignition<br>Side hinged door<br>Welded vitreous enameled oven liner<br>Stainless steel finish<br>Adjustable front feet and rear roller",1.02m,210,1000
CS9,Cobra,900mm Gas Salamander,CS9_UK_HR.png,900,389,450,"900mm gas salamander<br>2 x 4.4kW (15,000 Btu/hr) high performance infra-red burners<br>Removable easy-clean bottom tray<br>Independently controlled sides<br>Flame failure protection on each burner<br>Wall mounting bracket supplied",0.32m,69,700
