ProductCode,Title,Short Description,Long Description,Purpose,Temperature,Height,Width,Depth,Capacity,note1,note2,note3,note4,note5,note6,note7,note8,note9,note10,note11,note12,2016 List Price,2016 Nett Price,(Model Code),,,Final Nett,Width Feature,Depth Feature,Height Feature
EP12H,EcoPro G2 1/2 Refrigerated Counter,EP1/2H EcoPro G2 1/2 Refrigerated Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Refrigeration,Refrigerator +1/+4 C,865,1415,700,280,Where glass door option is requested please note that every door supplied is glass.,Hydrocarbon option not available on glass door models,Glass doors not available on 60Hz option,32 C ambient on glass door refrigerator model,"Any mix of two or three drawer units is possible as is any combination of drawers and doors. Important - drawer sections are supplied without shelves. Will accommodate pans (optional extra), 1/2 drawers up to 150mm 1/3 drawers up to 100mm (top drawer max. 70mm on 1/3 drawers).",Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1113mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",3030,1515,12/101,12101.jpg,EcoPro G2 1/2 Refrigerated Counter,1469.55,1415mm,700mm,865mm
EP12L,EcoPro G2 1/2 Freezer Counter,EP1/2L EcoPro G2 1/2 Freezer Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Freezing,Freezer -18/-21 C,865,1415,700,280,Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1113mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",,,,,,3438,1719,12/105,12105.jpg,EcoPro G2 1/2 Freezer Counter,1667.43,1415mm,700mm,865mm
EP12M,EcoPro G2 1/2 Meat/Chill Counter,EP1/2M EcoPro G2 1/2 Meat Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Refrigeration,Meat -2/+2 C,865,1415,700,280,Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1113mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",,,,,,3324,1662,12/109,12109.jpg,EcoPro G2 1/2 Meat/Chill Counter,1612.14,1415mm,700mm,865mm
EP13H,EcoPro G2 1/3 Refrigerated Counter,EP1/3H EcoPro G2 1/3 Refrigerated Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Refrigeration,Refrigerator +1/+4 C,865,1865,700,435,Where glass door option is requested please note that every door supplied is glass.,Hydrocarbon option not available on glass door models,Glass doors not available on 60Hz option,32 C ambient on glass door refrigerator model,"Any mix of two or three drawer units is possible as is any combination of drawers and doors. Important - drawer sections are supplied without shelves. Will accommodate pans (optional extra), 1/2 drawers up to 150mm 1/3 drawers up to 100mm (top drawer max. 70mm on 1/3 drawers).",Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1113mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",3530,1765,12/175,12175.jpg,EcoPro G2 1/3 Refrigerated Counter,1712.05,1865mm,700mm,865mm
EP13L,EcoPro G2 1/3 Freezer Counter,EP1/3L EcoPro G2 1/3 Freezer Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Freezing,Freezer -18/-21 C,865,1865,700,435,Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1113mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",,,,,,3994,1997,12/179,12179.jpg,EcoPro G2 1/3 Freezer Counter,1937.09,1865mm,700mm,865mm
EP13M,EcoPro G2 1/3 Meat/Chill Counter,EP1/3M EcoPro G2 1/3 Meat Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Refrigeration,Meat -2/+2 C,865,1865,700,435,Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1113mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",,,,,,3732,1866,12/183,12183.jpg,EcoPro G2 1/3 Meat/Chill Counter,1810.02,1865mm,700mm,865mm
EP14H,EcoPro G2 1/4 Refrigerated Counter,EP1/4H EcoPro G2 1/4 Refrigerated Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Refrigeration,Refrigerator +1/+4 C,865,2320,700,585,Where glass door option is requested please note that every door supplied is glass.,Hydrocarbon option not available on glass door models,Glass doors not available on 60Hz option,32 C ambient on glass door refrigerator model,"Any mix of two or three drawer units is possible as is any combination of drawers and doors. Important - drawer sections are supplied without shelves. Will accommodate pans (optional extra), 1/2 drawers up to 150mm 1/3 drawers up to 100mm (top drawer max. 70mm on 1/3 drawers).",Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1113mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",4470,2235,12/257,12257.jpg,EcoPro G2 1/4 Refrigerated Counter,2167.95,2320mm,700mm,865mm
EP14L,EcoPro G2 1/4 Freezer Counter,EP1/4L EcoPro G2 1/4 Freezer Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Freezing,Freezer -18/-21 C,865,2320,700,585,Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1113mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",,,,,,5082,2541,12/261,12261.jpg,EcoPro G2 1/4 Freezer Counter,2464.77,2320mm,700mm,865mm
EP14M,EcoPro G2 1/4 Meat/Chill Counter,EP1/4M EcoPro G2 1/4 Meat Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Refrigeration,Meat -2/+2 C,865,2320,700,585,Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1113mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",,,,,,4704,2352,12/265,12265.jpg,EcoPro G2 1/4 Meat/Chill Counter,2281.44,2320mm,700mm,865mm
EP22H,EcoPro G2 2/2 Refrigerated Counter,EP2/2H EcoPro G2 2/2 Refrigerated Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Refrigeration,Refrigerator +1/+4 C,865,1825,800,495,Where glass door option is requested please note that every door supplied is glass.,Hydrocarbon option not available on glass door models,Glass doors not available on 60Hz option,32 C ambient on glass door refrigerator model,"Any mix of two or three drawer units is possible as is any combination of drawers and doors. Important - drawer sections are supplied without shelves. Will accommodate pans (optional extra), 1/2 drawers up to 150mm 1/3 drawers up to 100mm (top drawer max. 70mm on 1/3 drawers).",Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1418mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",3768,1884,12/347,12347.jpg,EcoPro G2 2/2 Refrigerated Counter,1827.48,1825mm,800mm,865mm
EP23H,EcoPro G2 2/3 Refrigerated Counter,EP2/3H EcoPro G2 2/3 Refrigerated Counter,We've revolutionised professional refrigeration... again. The EcoPro G2 counter range is loaded with quality reliability efficiency and performance features.,General Storage Refrigeration,Refrigerator +1/+4 C,865,2480,800,760,Where glass door option is requested please note that every door supplied is glass.,Hydrocarbon option not available on glass door models,Glass doors not available on 60Hz option,32 C ambient on glass door refrigerator model,"Any mix of two or three drawer units is possible as is any combination of drawers and doors. Important - drawer sections are supplied without shelves. Will accommodate pans (optional extra), 1/2 drawers up to 150mm 1/3 drawers up to 100mm (top drawer max. 70mm on 1/3 drawers).",Marine kit option includes legs bulkhead brackets rat proofing & marine shelves.,Castors not available if product supplied less condensing unit,"100mm leg option, height ranges from 835 to 865mm (replacement for standard castors). 150mm legs, height ranges from 885 to 935mm.",Depth with door open is 1418mm,Decibel rating measured 1m high from the floor and 1m out from the cabinet.,60Htz model supplied as 220v machine with separate transformer for conversion to 115v supply.,"Adequate airflow must be kept around the counter, 150mm",4432,2216,12/387,12387.jpg,EcoPro G2 2/3 Refrigerated Counter,2149.52,2480mm,800mm,865mm
FFC6-2,FlexDrawer 2 Drawers,FFC6-2 Foster FlexDrawer Counter (variable temperature) with 2 Drawers,Change drawer temperature from fridge to freezer at the touch of a button - simple.,General Storage Refrigeration,Refrigerator +1/+4 C and/or Freezer -18/-21 C,900,1100,700,,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,5426,2713,35/101,35101.jpg,FlexDrawer 2 Drawers,2631.61,1100mm,700mm,900mm
FFC3-1,FlexDrawer 1 Draw,FFC3-1 Foster FlexDrawer Counter (variable temperature) with 1 Drawer,Change drawer temperature from fridge to freezer at the touch of a button - simple.,General Storage Refrigeration,Refrigerator +1/+4 C and/or Freezer -18/-21 C,600,1100,700,,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,3284,1642,35/103,35103.jpg,FlexDrawer 1 Draw,1592.74,1100mm,700mm,600mm
FSL400H,Slimline 400 Litre Upright Refrigerated Cabinet,FSL400H Slimline 400 Litre Upright Refrigerated Cabinet,The Slimline range's footprint is ideal for outlets where space is an issue. Slimline cabinets are ideal for smaller independent catering outlets looking for value for money and quality refrigeration.,General Storage Refrigeration,Refrigerator +1/+4 C,1990,600,705,400,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,1814,907,11/101,11101.jpg,Slimline 400 Litre Upright Refrigerated Cabinet,879.79,600mm,705mm,1990mm
FSL400M,Slimline 400 Litre Upright Meat/Chill Cabinet,FSL400M Slimline 400 Litre Upright Meat Cabinet,The Slimline range's footprint is ideal for outlets where space is an issue. Slimline cabinets are ideal for smaller independent catering outlets looking for value for money and quality refrigeration.,General Storage Refrigeration,Meat -2/+2 C,1990,600,705,400,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,1916,958,11/103,11103.jpg,Slimline 400 Litre Upright Meat/Chill Cabinet,929.26,600mm,705mm,1990mm
FSL400L,Slimline 400 Litre Upright Freezer Cabinet,FSL400L Slimline 400 Litre Upright Freezer Cabinet,The Slimline range's footprint is ideal for outlets where space is an issue. Slimline cabinets are ideal for smaller independent catering outlets looking for value for money and quality refrigeration.,General Storage Freezing,Freezer -18/-21 C,1990,600,705,400,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,2040,1020,11/102,11102.jpg,Slimline 400 Litre Upright Freezer Cabinet,989.4,600mm,705mm,1990mm
FSL800H,Slimline 800 Litre Upright Refrigerated Cabinet,FSL800H Slimline 800 Litre Upright Refrigerated Cabinet,The Slimline range's footprint is ideal for outlets where space is an issue. Slimline cabinets are ideal for smaller independent catering outlets looking for value for money and quality refrigeration.,General Storage Refrigeration,Refrigerator +1/+4 C,1900,705,1200,800,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,2606,1303,11/105,11105.jpg,Slimline 800 Litre Upright Refrigerated Cabinet,1263.91,705mm,1200mm,1900mm
FSL800M,Slimline 800 Litre Upright Meat/Chill Cabinet,FSL800M Slimline 800 Litre Upright Meat Cabinet,The Slimline range's footprint is ideal for outlets where space is an issue. Slimline cabinets are ideal for smaller independent catering outlets looking for value for money and quality refrigeration.,General Storage Refrigeration,Meat -2/+2 C,1900,705,1200,800,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,2788,1394,11/107,11107.jpg,Slimline 800 Litre Upright Meat/Chill Cabinet,1352.18,705mm,1200mm,1900mm
FSL800L,Slimline 800 Litre Upright Freezer Cabinet,FSL800L Slimline 800 Litre Upright Freezer Cabinet,The Slimline range's footprint is ideal for outlets where space is an issue. Slimline cabinets are ideal for smaller independent catering outlets looking for value for money and quality refrigeration.,General Storage Freezing,Freezer -18/-21 C,1900,705,1200,800,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,2948,1474,11/106,11106.jpg,Slimline 800 Litre Upright Freezer Cabinet,1429.78,705mm,1200mm,1900mm
LL2-1HD,LL2/1HD Refrigerated Counter,LL2/1HD Low Level LL2/1HD Refrigerated Counter,Heavy duty cooking equipment can rely on the support of the Foster Low Level Counter. Under counter refrigeration is provided at the point of cooking offering a base for a char-grill griddle or broiling top,General Storage Refrigeration,Refrigerator +1/+4 C,645,1245,800,140,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,5826,2913,14/101,14101.jpg,Refrigerated Counter,2825.61,1245mm,800mm,645mm
LL2-1HDRW,LL2/1HDRW Meat/Chill Counter,LL2/1HDRW Low Level LL2/1HDRW Reduced Width Refrigerated Counter,Heavy duty cooking equipment can rely on the support of the Foster Low Level Counter. Under counter refrigeration is provided at the point of cooking offering a base for a char-grill griddle or broiling top,General Storage Refrigeration,Refrigerator +1/+4 C,645,1300,800,140,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,5748,2874,14/102,14102.jpg,Meat/Chill Counter,2787.78,1300mm,800mm,645mm
LL2-4H,LL2/4H Refrigerated Counter,LL2/4H Low Level LL2/4H Refrigerated Counter,Heavy duty cooking equipment can rely on the support of the Foster Low Level Counter. Under counter refrigeration is provided at the point of cooking offering a base for a char-grill griddle or broiling top,General Storage Refrigeration,Refrigerator +1/+4 C,645,1900,800,279,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,,,6992,3496,14/103,14103.jpg,Refrigerated Counter,3391.12,1900mm,800mm,645mm
HR120,HR120 Space Saver Refrigerated Undercounter Cabinet,HR120 Space Saver Refrigerated Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Refrigeration,Refrigerator +1/+4 C,895,440,745,120,External cabinet depth excludes 25mm door handle,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,1960,980,13/122,13122.jpg,Space Saver Refrigerated Undercounter Cabinet,950.6,440mm,745mm,895mm
LR120,LR120 Space Saver Freezer Undercounter Cabinet,LR120 Space Saver Freezer Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Freezing,Freezer -18/-21 C,895,440,745,120,External cabinet depth excludes 25mm door handle,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,2274,1137,13/123,13123.jpg,Space Saver Freezer Undercounter Cabinet,1102.89,440mm,745mm,895mm
HR150,HR150 Refrigerated Undercounter Cabinet,HR150 Refrigerated Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Refrigeration,Refrigerator +1/+4 C,830,605,640,150,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",Meets ISO Climate Class 4 up to 32 C Ambient Glass door models 25 C Ambient,Hydrocarbon not available on glass door option,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,1266,633,13/101,13101.jpg,Refrigerated Undercounter Cabinet,614.01,605mm,640mm,830mm
LR150,LR150 Freezer Undercounter Cabinet,LR150 Freezer Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Freezing,Freezer -18/-21 C,830,605,640,150,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",Meets ISO Climate Class 4 up to 32 C Ambient,Decibel rating measured 1m high from the floor and 1m from the cabinet,,,,,,,,,,1308,654,13/103,13103.jpg,Freezer Undercounter Cabinet,634.38,605mm,640mm,830mm
HR200,HR200 Refrigerated Undercounter Cabinet,HR200 Refrigerated Undercounter Cabinet,Undercounter refrigeration ensures optimum use of space in tight kitchen areas and none more so than Foster's high performance low cost range of undercounter cabinets,General Storage Refrigeration,Refrigerator +3/+5 C,824,684,755,200,Decibel rating measured 1m high from the floor and 1m from the cabinet,"Note, for airflow ensure that 25mm clearance is allowed above the cabinet",Meets ISO Climate Class 5 up to 43 C Ambient,Hydrocarbon not available on glass door option,,,,,,,,,1566,783,13/110,13110.jpg,Refrigerated Undercounter Cabinet,759.51,684mm,755mm,824mm
