Product Code,Generic Product Type,Product Group,Catalogue Description,Additional Description,Product Type,Related Products,Gas or Electric,Power/Load,Height (mm),Width (mm),Depth (mm),Web USPs,Spec Sheet Code,UK (Jan 16),Weight (kg),Image Code,product_type_id,product_range_id,Width Feature,Depth Feature,Height Feature,Nett Price
ABP03,Accessories & Options,Accessories & Options,Branding plate and driptray,For GR3,Accessory - Other,,,,,,,,,191,,,114,206,,,,109.825
AS3,Cooking Equipment,Silverlink 600,Adjustable Salamander,,Salamander Grills,BR51,electric,2.8 kW,500,600,550,* Ideal for grilling and gratination<br>* Smooth action and easy-lift grill hood<br>* Height markings and an audible timer to ensure consistent results<br>* Removeable fat collection tray and chromed toasting rack included as standard<br>* 1/1 GN compatible,S-LINKADJSAL,1186,45,AS3.jpg,65,161,600mm,550mm,500mm,681.95
C6H/75S,Merchandisers and Display Cases,Seal,650 Range Curved Front Heated Merchandiser,Self service,650 Range Curved Front Merchandisers,,electric,1520 W,755,750,650,* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Minimum food holding temperature of 72°C <br>* All-round visibility to maximise food sales potential <br>* Precise thermostatic control up to 95°C with digital display of cabinet temperature ensures food is maintained at a safe temperature <br>* Large display capacity - perfect for busy establishments <br>* Humidity feature prevents food drying out - food stays in optimum condition for longer reducing waste <br>* Even daylight-balanced illumination to enhance display of contents with easy change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean  <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Suitable for self-service applications,SEAL650HEATCURVE,1600,47,C6H-75B.jpg,103,183,750mm,650mm,755mm,920
C6R/100BU,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Back service - under counter power pack,650 Range Curved Front Merchandisers,,electric,717 W,755,1000,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Under-counter power pack for all round visibility to maximize food sales potential <br>* Suitable for back-service applications",SEAL650REFUNDER,2733,121,C6R-100BU.jpg,106,183,1000mm,650mm,755mm,1571.475
C6R/100SU,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Self service - under counter power pack,650 Range Curved Front Merchandisers,,electric,717 W,755,1000,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Under-counter power pack for all round visibility to maximize food sales potential <br>* Suitable for self-service applications",SEAL650REFUNDER,2789,121,C6R-100BU.jpg,106,183,1000mm,650mm,755mm,1603.675
C6R/105BL,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Back service - left hand power pack,650 Range Curved Front Merchandisers,,electric,604 W,755,1050,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Left-hand power pack (as viewed from customer side)<br>* Suitable for back-service applications",SEAL650REFCURVE,3001,105,C6R-105BR.jpg,106,183,1050mm,650mm,755mm,1725.575
C6R/105BR,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Back service - right hand power pack,650 Range Curved Front Merchandisers,,electric,604 W,755,1050,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Right-hand power pack (as viewed from customer side)<br>* Suitable for back-service applications",SEAL650REFCURVE,2926,105,C6R-105BR.jpg,106,183,1050mm,650mm,755mm,1682.45
C6R/105SL,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Self service - left hand power pack,650 Range Curved Front Merchandisers,,electric,604 W,755,1050,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Left-hand power pack (as viewed from customer side)<br>* Suitable for self-service applications",SEAL650REFCURVE,3059,105,C6R-105BR.jpg,106,183,1050mm,650mm,755mm,1758.925
C6R/105SR,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Self service - right hand power pack,650 Range Curved Front Merchandisers,,electric,604 W,755,1050,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Right-hand power pack (as viewed from customer side)<br>* Suitable for self-service applications",SEAL650REFCURVE,2982,105,C6R-105BR.jpg,106,183,1050mm,650mm,755mm,1714.65
C6R/125BU,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Back service - under counter power pack,650 Range Curved Front Merchandisers,,electric,729 W,755,1250,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Under-counter power pack for all round visibility to maximize food sales potential <br>* Suitable for back-service applications",SEAL650REFUNDER,3073,136,C6R-125BU.jpg,106,183,1250mm,650mm,755mm,1766.975
C6R/125SU,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Self service -  under counter power pack,650 Range Curved Front Merchandisers,,electric,729 W,755,1250,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Under-counter power pack for all round visibility to maximize food sales potential <br>* Suitable for self-service applications",SEAL650REFUNDER,3132,136,C6R-125BU.jpg,106,183,1250mm,650mm,755mm,1800.9
C6R/130BL,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Back service - left hand power pack,650 Range Curved Front Merchandisers,,electric,717 W,755,1300,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Left-hand power pack (as viewed from customer side)<br>* Suitable for back-service applications",SEAL650REFCURVE,3399,122,C6R-130.BR.jpg,106,183,1300mm,650mm,755mm,1954.425
C6R/130BR,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Back service - right hand power pack,650 Range Curved Front Merchandisers,,electric,717 W,755,1300,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Right-hand power pack (as viewed from customer side)<br>* Suitable for back-service applications",SEAL650REFCURVE,3324,122,C6R-130.BR.jpg,106,183,1300mm,650mm,755mm,1911.3
C6R/130SL,Merchandisers and Display Cases,Seal,650 Range Curved Front Refrigerated Merchandiser,Self service - left hand power pack,650 Range Curved Front Merchandisers,,electric,717 W,755,1300,650,"* Understated elegant curved design with extruded aluminium frames and metallic silver finish enhances display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Large display capacity - perfect for busy establishments <br>* Double-glazed for improved energy efficiency and low running costs <br>* Consistent profile across refrigerated heated and ambient models allow for attractive space-saving modular installations <br>* Left-hand power pack (as viewed from customer side)<br>* Suitable for self-service applications",SEAL650REFCURVE,3459,122,C6R-130.BR.jpg,106,183,1300mm,650mm,755mm,1988.925
CS6,Cooking Equipment,Silverlink 600,Chip Scuttle,,Chip Scuttles,SLS6 CN6 CC6 HC6 HCL6,electric,0.75 kW,265,600,600,* Heated from below<br>* Removable tank and drain plate for easy cleaning<br>* Drain plate keeps contents crisp and fresh<br>* Easy access and better heat retention via hinged lid,S-LINKCHIP,481,20,CS6.jpg,11,167,600mm,600mm,265mm,276.575
D3H/75,Merchandisers and Display Cases,Seal,350 Range Heated Merchandiser,Back service,350 Range Merchandisers,,electric,770 W,575,750,350,* Elegant extruded aluminium frames and metallic silver finish enhance display without detracting from contents <br>* Minimum food holding temperature of 72°C <br>* Thermostatic control up to 95°C <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* All-round visibility to maximise food sales potential <br>* Humidity feature prevents food drying out - food stays in optimum condition for longer reducing waste <br>* Switchable heat control and cool-temperature lighting allows unit to be used as an ambient display cabinet <br>* Suitable for back-service applications,SEAL350HEAT,921,34,D3H-75B.jpg,103,181,750mm,350mm,575mm,529.575
D3R/100,Merchandisers and Display Cases,Seal,350 Range Refrigerated Merchandiser,Back service,350 Range Merchandisers,,electric,393 W,575,1000,350,"* Elegant extruded aluminium frames and metallic silver finish enhance display without detracting from contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Double-glazed front and sides for extra energy efficiency and low running costs <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Suitable for back-service applications",SEAL350REF,1649,66,D3R-100B.jpg,106,181,1000mm,350mm,575mm,948.175
D5H/100B,Merchandisers and Display Cases,Seal,500 Range Heated Merchandiser,Back service,500 Range Merchandisers,,electric,2020 W,575,1000,500,* Elegant extruded aluminium frames and metallic silver finish enhance display without detracting from the contents <br>* Minimum food holding temperature of 72°C <br>* Thermostatic control up to 95°C <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* All-round visibility to maximise food sales potential <br>* Humidity feature prevents food drying out - food stays in optimum condition for longer reducing waste <br>* Switchable heat control and cool-temperature lighting allows unit to be used as an ambient display cabinet <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Suitable for back-service applications,SEAL500HEAT,1128,54,D5H-100B.jpg,103,182,1000mm,500mm,575mm,648.6
D5H/100S,Merchandisers and Display Cases,Seal,500 Range Heated Merchandiser,Self service,500 Range Merchandisers,,electric,2020 W,575,1000,500,* Elegant extruded aluminium frames and metallic silver finish enhance display without detracting from the contents <br>* Minimum food holding temperature of 72°C <br>* Thermostatic control up to 95°C <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* All-round visibility to maximise food sales potential <br>* Humidity feature prevents food drying out - food stays in optimum condition for longer reducing waste <br>* Switchable heat control and cool-temperature lighting allows unit to be used as an ambient display cabinet <br>* Suitable for self-service applications,SEAL500HEAT,1256,54,D5H-100B.jpg,103,182,1000mm,500mm,575mm,722.2
D5H/75B,Merchandisers and Display Cases,Seal,500 Range Heated Merchandiser,Back service,500 Range Merchandisers,,electric,1520 W,575,750,500,* Elegant extruded aluminium frames and metallic silver finish enhance display without detracting from the contents <br>* Minimum food holding temperature of 72°C <br>* Thermostatic control up to 95°C <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* All-round visibility to maximise food sales potential <br>* Humidity feature prevents food drying out - food stays in optimum condition for longer reducing waste <br>* Switchable heat control and cool-temperature lighting allows unit to be used as an ambient display cabinet <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Suitable for back-service applications,SEAL500HEAT,1036,37,D5H-75B.jpg,103,182,750mm,500mm,575mm,595.7
D5H/75S,Merchandisers and Display Cases,Seal,500 Range Heated Merchandiser,Self service,500 Range Merchandisers,,electric,1520 W,575,750,500,* Elegant extruded aluminium frames and metallic silver finish enhance display without detracting from the contents <br>* Minimum food holding temperature of 72°C <br>* Thermostatic control up to 95°C <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* All-round visibility to maximise food sales potential <br>* Humidity feature prevents food drying out - food stays in optimum condition for longer reducing waste <br>* Switchable heat control and cool-temperature lighting allows unit to be used as an ambient display cabinet <br>* Suitable for self-service applications,SEAL500HEAT,1165,37,D5H-75B.jpg,103,182,750mm,500mm,575mm,669.875
D5R/100B,Merchandisers and Display Cases,Seal,500 Range Refrigerated Merchandiser,Back service,500 Range Merchandisers,,electric,602 W,575,1000,500,"* Elegant extruded aluminium frames and metallic silver finish enhance display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 25°C and 60% relative humidity <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Double-glazed front and sides for extra energy efficiency and low running costs <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Suitable for back-service applications",SEAL500REF,2077,82,D5R-100B.jpg,106,182,1000mm,500mm,575mm,1194.275
D5R/100S,Merchandisers and Display Cases,Seal,500 Range Refrigerated Merchandiser,Self service,500 Range Merchandisers,,electric,602 W,575,1000,500,"* Elegant extruded aluminium frames and metallic silver finish enhance display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 32°C and 70% relative humidity <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Double-glazed front and sides for extra energy efficiency and low running costs <br>* Suitable for self-service applications",SEAL500REF,2203,82,D5R-100B.jpg,106,182,1000mm,500mm,575mm,1266.725
D5R/125B,Merchandisers and Display Cases,Seal,500 Range Refrigerated Merchandiser,Back service,500 Range Merchandisers,,electric,621 W,575,1250,500,"* Elegant extruded aluminium frames and metallic silver finish enhance display without detracting from the contents <br>* Holds food at 3°C - 7°C in ambient conditions up to 32°C and 70% relative humidity <br>* Sleek design and chrome plated rod shelves are attractive and easy to clean <br>* Even daylight-balanced illumination to enhance display of contents with easy-change clip-in fluorescent light tubes <br>* Precise thermostatic control of cabinet temperature with digital display and high/low temperature warning <br>* R404a refrigerant is energy-efficient and non ozone-depleting so kinder to the environment <br>* ""Hot gas"" automatic defrost allows continuous operation with no loss of cabinet temperature for enhanced food safety <br>* Double-glazed front and sides for extra energy efficiency and low running costs <br>* Adjustable shelf heights provide flexibility to accommodate different sized products <br>* Suitable for back-service applications",SEAL500REF,2240,97,D5R-125B.jpg,106,182,1250mm,500mm,575mm,1288
